full_text_comments,full_text_comments_preprocessed
Semakin hari semakin terbuka kalau Presiden @prabowo tidak independen dan ada sosok yang atur beliau dalam menjalankan roda pemerintahan.,semakin hari semakin terbuka kalau presiden tidak independen dan ada sosok yang atur beliau dalam menjalankan roda pemerintahan
#intinyadeh lebih dr 100 org Indonesia kabur dr Chrey Thum Kamboja. Mereka ngaku ditipu agen penyalur kerja diperlakukan dgn kekerasan sama perusahaan salah satu pekerja wanita dicambuk. Mereka kerja utk perusahaan love scamming. Kemenlu: 110 org udh berhasil dipulangkan.,intinyadeh lebih dr org indonesia kabur dr chrey thum kamboja mereka ngaku ditipu agen penyalur kerja diperlakukan dgn kekerasan sama perusahaan salah satu pekerja wanita dicambuk mereka kerja utk perusahaan love scamming kemenlu org udh berhasil dipulangkan
@susipudjiastuti @prabowo https://t.co/UndQ2BCWIV,
@susipudjiastuti @prabowo ini termasuk korupsi gak sih bu...? sy pikir ya termasuk korupsi gak ada cukupnya mereka gak cuma mengelola juga merusak juga melebihi batasan zona yg ditetapkan.,ini termasuk korupsi gak sih bu sy pikir ya termasuk korupsi gak ada cukupnya mereka gak cuma mengelola juga merusak juga melebihi batasan zona yg ditetapkan
@susipudjiastuti @prabowo Perekonomian daerah sangat tergantung dengan komoditi tersebut. Dulu banyak petani komoditi tersebut yg sangat terbantu dg komoditi tersebut akan tetapi sekarang banyak sekali corporate besar yg melakukan perluasan ugal ugalan skala besar dengan menggunakan segala cara.,perekonomian daerah sangat tergantung dengan komoditi tersebut dulu banyak petani komoditi tersebut yg sangat terbantu dg komoditi tersebut akan tetapi sekarang banyak sekali corporate besar yg melakukan perluasan ugal ugalan skala besar dengan menggunakan segala cara
@susipudjiastuti @prabowo Ibu bapak terhormat tahun 96an di Sumatra bikin ruko Beton 4 lantai ditanah gambut pondasi tulang pake kayu ulin. Orang rimba mau nikahin anaknya menanam seribu anggrek yg belum pernah seumur hidup saya lihat di pulau Jawa. Kenapa kita ga ke ekstraksi flora fauna asli Indonesia,ibu bapak terhormat tahun an di sumatra bikin ruko beton lantai ditanah gambut pondasi tulang pake kayu ulin orang rimba mau nikahin anaknya menanam seribu anggrek yg belum pernah seumur hidup saya lihat di pulau jawa kenapa kita ga ke ekstraksi flora fauna asli indonesia
@susipudjiastuti @prabowo berapa persen rasa optimis ibu @susipudjiastuti terhadap harapan tersebut bisa terkabul? kalau saya 99% pesimis,berapa persen rasa optimis ibu terhadap harapan tersebut bisa terkabul kalau saya pesimis
@susipudjiastuti @prabowo Banyak gunung yang dikeruk buu pembukaan lahan dihutan lindung pembukaan lahan banyak banget buuuu satwa satwa kasihan buuu terutama oranghutan gajah burungrangkong cendrawasih jalak bali etc,banyak gunung yang dikeruk buu pembukaan lahan dihutan lindung pembukaan lahan banyak banget buuuu satwa satwa kasihan buuu terutama oranghutan gajah burungrangkong cendrawasih jalak bali etc
@susipudjiastuti @prabowo Perusahaan ya sendiri ditertibkan ga yahh.... Padahal ada 13 pilik Prabowo. Mustahil.,perusahaan ya sendiri ditertibkan ga yahh padahal ada pilik prabowo mustahil
@susipudjiastuti @prabowo Bu @susipudjiastuti mohon maaf tulisannya saya revisi sedikit https://t.co/o0s2JqjnZ9,bu mohon maaf tulisannya saya revisi sedikit
